GP,PPG,RPG,APG,SPG,BPG,TOPG,FGP,FTP,3PP,FGAPG,FTAPG,3PAPG,ORPG,DRPG,PAPG,S10,WPCT,GPA,PPGA,RPGA,APGA,SPGA,BPGA,TOPGA,FGPA,FTPA,3PPA,FGAPGA,FTAPGA,3PAPGA,ORPGA,DRPGA,PAPGA,S10A,WPCTA,result
20.0,74.3,30.4,15.8,7.2,2.1,11.1,51.5,74.5,37.4,54.6,15.7,17.1,7.95,22.45,68.27777777777777,0.8,0.6111111111111112,24.0,76.0,35.5,16.3,8.2,4.5,12.8,46.8,69.1,35.2,61.625,14.416666666666666,23.791666666666668,11.333333333333334,24.125,71.29166666666667,0.6,0.5416666666666666,0
20.0,74.3,30.4,15.8,7.2,2.1,11.1,51.5,74.5,37.4,54.6,15.7,17.1,7.95,22.45,68.27777777777777,0.8,0.6111111111111112,5.0,72.6,35.4,14.8,5.2,5.0,14.4,43.5,71.8,30.9,56.6,22.0,24.6,8.2,27.2,84.75,0.25,0.25,1
20.0,74.3,30.4,15.8,7.2,2.1,11.1,51.5,74.5,37.4,54.6,15.7,17.1,7.95,22.45,68.27777777777777,0.8,0.6111111111111112,26.0,72.6,33.9,12.3,6.8,1.8,11.1,43.8,78.3,35.9,58.53846153846154,16.5,23.346153846153847,8.346153846153847,25.53846153846154,69.79166666666667,0.6,0.6666666666666666,0
20.0,74.3,30.4,15.8,7.2,2.1,11.1,51.5,74.5,37.4,54.6,15.7,17.1,7.95,22.45,68.27777777777777,0.8,0.6111111111111112,26.0,72.7,33.4,14.9,4.3,3.9,10.6,45.9,77.3,36.8,56.88461538461539,14.73076923076923,24.692307692307693,7.1923076923076925,26.192307692307693,74.34615384615384,0.5,0.46153846153846156,0
20.0,74.3,30.4,15.8,7.2,2.1,11.1,51.5,74.5,37.4,54.6,15.7,17.1,7.95,22.45,68.27777777777777,0.8,0.6111111111111112,27.0,71.2,34.0,13.5,6.2,2.0,12.1,46.0,69.2,35.1,55.2962962962963,18.62962962962963,21.074074074074073,7.703703703703703,26.296296296296298,70.21739130434783,0.5,0.4782608695652174,0
20.0,74.3,30.4,15.8,7.2,2.1,11.1,51.5,74.5,37.4,54.6,15.7,17.1,7.95,22.45,68.27777777777777,0.8,0.6111111111111112,27.0,71.2,34.0,13.5,6.2,2.0,12.1,46.0,69.2,35.1,55.2962962962963,18.62962962962963,21.074074074074073,7.703703703703703,26.296296296296298,70.21739130434783,0.5,0.4782608695652174,0
20.0,74.3,30.4,15.8,7.2,2.1,11.1,51.5,74.5,37.4,54.6,15.7,17.1,7.95,22.45,68.27777777777777,0.8,0.6111111111111112,18.0,71.8,38.9,13.7,7.4,4.3,14.7,42.9,66.4,29.3,62.55555555555556,15.055555555555555,27.72222222222222,11.555555555555555,27.333333333333332,70.5625,0.5,0.5,1
20.0,74.3,30.4,15.8,7.2,2.1,11.1,51.5,74.5,37.4,54.6,15.7,17.1,7.95,22.45,68.27777777777777,0.8,0.6111111111111112,18.0,71.8,38.9,13.7,7.4,4.3,14.7,42.9,66.4,29.3,62.55555555555556,15.055555555555555,27.72222222222222,11.555555555555555,27.333333333333332,70.5625,0.5,0.5,1
20.0,74.3,30.4,15.8,7.2,2.1,11.1,51.5,74.5,37.4,54.6,15.7,17.1,7.95,22.45,68.27777777777777,0.8,0.6111111111111112,25.0,72.0,34.8,14.0,7.1,2.7,13.2,43.7,69.8,37.9,58.8,16.04,24.88,10.36,24.44,72.54545454545455,0.5,0.4090909090909091,1
20.0,74.3,30.4,15.8,7.2,2.1,11.1,51.5,74.5,37.4,54.6,15.7,17.1,7.95,22.45,68.27777777777777,0.8,0.6111111111111112,25.0,72.0,34.8,14.0,7.1,2.7,13.2,43.7,69.8,37.9,58.8,16.04,24.88,10.36,24.44,72.54545454545455,0.5,0.4090909090909091,1
